switch_ips,name
dsw23201.cloudsouth.com,CS-D-Access-23201
dsw23202.cloudsouth.com,CS-D-Access-23202
dsw23301.cloudsouth.com,CS-D-Access-23301
dsw23302.cloudsouth.com,CS-D-Access-23302
dsw23501.cloudsouth.com,CS-D-Access-23501
dsw23502.cloudsouth.com,CS-D-Access-23502
dsw23601.cloudsouth.com,CS-D-Access-23601
dsw23602.cloudsouth.com,CS-D-Access-23602
dsw23801.cloudsouth.com,CS-D-Access-23801
dsw23802.cloudsouth.com,CS-D-Access-23802
172.26.1.50,CS-D-Access-23900-bmc
172.26.1.23,CS-D-Access-23901
dsw23901.cloudsouth.com,CS-D-Access-23901
172.26.1.24,CS-D-Access-23902
dsw23902.cloudsouth.com,CS-D-Access-23902
dsw2401.cloudsouth.com,CS-D-Access-2401
dsw2402.cloudsouth.com,CS-D-Access-2402
172.26.2.50,CS-D-Access-24100-bmc
172.26.2.23,CS-D-Access-24101
172.26.2.24,CS-D-Access-24102
172.28.3.50,CS-D-Access-24200-bmc
172.28.3.23,CS-D-Access-24201
172.28.3.24,CS-D-Access-24202
172.26.4.50,CS-D-Access-24500-bmc
172.26.4.23,CS-D-Access-24501
172.26.4.24,CS-D-Access-24502
dsw24601.cloudsouth.com,CS-D-Access-24601
dsw24602.cloudsouth.com,CS-D-Access-24602
172.27.9.50,CS-D-Access-24700-bmc
172.27.9.23,CS-D-Access-24701
172.27.9.24,CS-D-Access-24702
dsw2501.cloudsouth.com,CS-D-Access-2501
dsw2502.cloudsouth.com,CS-D-Access-2502
dsw2601.cloudsouth.com,CS-D-Access-2601
dsw2602.cloudsouth.com,CS-D-Access-2602
dsw2701.cloudsouth.com,CS-D-Access-2701
dsw2702.cloudsouth.com,CS-D-Access-2702
dsw2801.cloudsouth.com,CS-D-Access-2801
dsw2802.cloudsouth.com,CS-D-Access-2802
dsw2901.cloudsouth.com,CS-D-Access-2901
dsw2902.cloudsouth.com,CS-D-Access-2902
dsw3001.cloudsouth.com,CS-D-Access-3001
dsw3002.cloudsouth.com,CS-D-Access-3002
dsw3101.cloudsouth.com,CS-D-Access-3101
dsw3102.cloudsouth.com,CS-D-Access-3102
dsw3201.cloudsouth.com,CS-D-Access-3201
dsw3202.cloudsouth.com,CS-D-Access-3202
dsw3301.cloudsouth.com,CS-D-Access-3301
dsw3302.cloudsouth.com,CS-D-Access-3302
dsw3401.cloudsouth.com,CS-D-Access-3401
dsw3402.cloudsouth.com,CS-D-Access-3402
dsw3501.cloudsouth.com,CS-D-Access-3501
dsw3502.cloudsouth.com,CS-D-Access-3502
dsw3701.cloudsouth.com,CS-D-Access-3701
dsw3702.cloudsouth.com,CS-D-Access-3702
dsw3801.cloudsouth.com,CS-D-Access-3801
dsw3802.cloudsouth.com,CS-D-Access-3802
